"especievalida","min","max","ET_ID"
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15030
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15069
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20103
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20157
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20215
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20389
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20393
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21013
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21038
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21097
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21117
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21118
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21144
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26007
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20411
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20087
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15044
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20192
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",11044
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",32057
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26016
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20063
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",32006
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21151
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20538
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21125
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26070
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29054
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20174
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26060
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20132
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29056
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29060
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20315
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20555
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20013
"Politic01.p01 Monto sembrando vida 2019 (mdp)_5 : 54.5","Politic01decil","Politic01decil",21034
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15100
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",32013
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",32005
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20539
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",14098
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20069
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21090
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",8053
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20542
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20077
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29058
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",24049
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20342
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20109
