ET_ID,CVE_MUNICIPIO,total_sv_feb,total_sv_mar,total_sv_abr,total_sv_may,total_sv_ju,total_sv_jul,total_sv_ago,total_sv_sep,total_sv_oct,total_sv_nov,total_sv_dic,total_sv_total,total_sv19_total,total_sv_total,total1920,19mdp,20mdp,1920mdp
7113,7113,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,NA,5000,50000,5000,55000,50,5,55
8043,8043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
8060,8060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
9003,9003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
9005,9005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
9008,9008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
12075,12075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
13083,13083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
15058,15058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
15109,15109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
16006,16006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
16058,16058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
16087,16087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
18017,18017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
19019,19019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
19038,19038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
20357,20357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
20444,20444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
21140,21140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
21166,21166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
26055,26055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
28028,28028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
29043,29043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
32026,32026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000,,5000,5000,,5,5
30211,30211,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000,105000,10000,115000,105,10,115
15057,15057,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000,100000,10000,110000,100,10,110
9016,9016,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000,75000,10000,85000,75,10,85
21119,21119,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000,70000,10000,80000,70,10,80
9009,9009,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000,55000,10000,65000,55,10,65
15024,15024,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000,55000,10000,65000,55,10,65
15070,15070,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000,55000,10000,65000,55,10,65
2004,2004,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000,50000,10000,60000,50,10,60
5002,5002,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000,50000,10000,60000,50,10,60
7034,7034,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000,50000,10000,60000,50,10,60
7097,7097,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000,50000,10000,60000,50,10,60
8045,8045,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000,50000,10000,60000,50,10,60
9007,9007,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000,50000,10000,60000,50,10,60
9011,9011,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000,50000,10000,60000,50,10,60
15020,15020,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000,50000,10000,60000,50,10,60
