,CVE_MUNICIPIO,feb,abr,may,jun,jul,ago,sep,oct,nov,dic,total
1,2001,NA,NA,NA,10000,5000,NA,5000,5000,5000,10000,40000
2,2002,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,5000
3,2004,NA,5000,NA,10000,5000,5000,5000,5000,5000,10000,50000
4,4002,5000,10000,NA,20000,10000,10000,10000,10000,10000,20000,105000
5,4003,20000,60000,30000,190000,55000,55000,60000,195000,90000,180000,935000
6,4005,NA,NA,10000,20000,NA,NA,NA,40000,10000,20000,100000
7,4009,6480000,11395000,75000,28760000,14245000,13720000,14300000,14250000,13800000,33170000,150195000
8,4010,19570000,19985000,3075000,49670000,24280000,24149000,24425000,25156000,23915000,53695000,267920000
9,4011,1095000,1460000,NA,20855000,10080000,9794000,10265000,10756000,10125000,28635000,103065000
10,5002,NA,5000,NA,10000,5000,5000,5000,5000,5000,10000,50000
11,5007,NA,NA,NA,NA,NA,9000,NA,16000,5000,10000,40000
12,5035,NA,NA,NA,NA,NA,NA,NA,NA,5000,15000,20000
13,6009,NA,5000,NA,10000,5000,5000,5000,5000,5000,10000,50000
14,7001,NA,1625000,320000,4080000,2005000,1985000,2040000,2110000,2025000,4230000,20420000
15,7002,NA,NA,NA,20000,NA,NA,NA,50000,10000,20000,100000
16,7003,NA,4055000,400000,9150000,4475000,4320000,4585000,4775000,4515000,9670000,45945000
17,7004,NA,5000,7695000,17175000,8295000,7355000,9385000,7955000,9705000,21775000,89345000
18,7005,2175000,8980000,725000,22175000,10375000,10040000,11620000,11295000,10705000,25885000,113975000
19,7006,880000,1955000,160000,4215000,2110000,2025000,2185000,2120000,1940000,4505000,22095000
20,7008,NA,NA,NA,NA,NA,NA,10000,5000,5000,10000,30000
21,7010,NA,905000,75000,2000000,990000,975000,1010000,975000,975000,2095000,10000000
22,7011,695000,2715000,180000,5640000,2860000,2765000,2800000,2910000,2755000,6020000,29340000
23,7012,NA,955000,70000,2030000,1015000,985000,1030000,1005000,1015000,2085000,10190000
24,7013,115000,335000,35000,750000,365000,360000,375000,360000,360000,705000,3760000
25,7015,NA,4610000,830000,10995000,5450000,5360000,5505000,5450000,5455000,11425000,55080000
26,7016,2945000,2935000,1815000,9980000,4350000,4375000,4400000,6740000,4960000,10465000,52965000
27,7018,3985000,3960000,1870000,12155000,6050000,7385000,7620000,6945000,7100000,16130000,73200000
28,7019,NA,NA,NA,10000,NA,NA,5000,5000,5000,10000,35000
29,7021,915000,945000,3345000,9010000,4435000,4185000,5130000,4745000,4750000,10005000,47465000
30,7025,1275000,1275000,555000,3690000,1825000,1815000,1835000,1830000,1850000,3875000,19825000
31,7031,1320000,1670000,3590000,12400000,5845000,5790000,6630000,6355000,6795000,16580000,66975000
32,7032,5000,4660000,345000,10070000,5010000,4915000,4980000,4965000,4990000,10585000,50525000
33,7033,2355000,2365000,1085000,7160000,3515000,3430000,3515000,3625000,3530000,7340000,37920000
34,7034,NA,5000,NA,10000,5000,5000,5000,5000,5000,10000,50000
35,7035,NA,575000,35000,1260000,620000,615000,650000,620000,620000,1295000,6290000
36,7036,NA,1830000,150000,4000000,2000000,1980000,1980000,1945000,1970000,4150000,20005000
37,7037,NA,3505000,655000,10710000,5225000,4975000,5690000,5355000,5355000,12675000,54145000
38,7039,6235000,9820000,645000,21050000,10370000,9895000,10145000,10680000,10455000,21330000,110625000
39,7040,225000,4835000,295000,10385000,5185000,5070000,5305000,5135000,5135000,10775000,52345000
40,7042,10000,3420000,275000,6985000,3340000,3270000,4495000,3660000,3750000,8080000,37285000
41,7043,2125000,2635000,165000,5585000,2770000,2700000,2780000,2835000,2805000,5820000,30220000
42,7045,1350000,1785000,60000,3660000,1775000,1750000,1950000,1890000,1835000,4050000,20105000
43,7048,1310000,1870000,1280000,6610000,3000000,2995000,3720000,3635000,3370000,7440000,35230000
44,7050,1295000,1265000,1050000,5240000,1670000,1724000,1850000,5091000,2615000,5620000,27420000
45,7051,NA,1485000,460000,4030000,2015000,1980000,2005000,2035000,1980000,4155000,20145000
46,7052,NA,NA,4670000,14335000,6465000,4215000,6560000,6815000,6980000,17260000,67300000
47,7053,NA,895000,85000,1970000,960000,955000,980000,955000,965000,2115000,9880000
48,7054,NA,4245000,1560000,12000000,6110000,5845000,6030000,5970000,5960000,12640000,60360000
49,7055,NA,185000,NA,400000,210000,200000,215000,200000,200000,445000,2055000
50,7057,NA,8045000,1465000,19250000,9470000,9120000,9625000,9470000,9445000,20305000,96195000
51,7059,28205000,42645000,41495000,172035000,89255000,87275000,86455000,87000000,87430000,186705000,908500000
52,7060,NA,NA,815000,6815000,2905000,2830000,4140000,3555000,3420000,9310000,33790000
53,7061,NA,3970000,670000,8965000,4485000,4405000,4670000,4515000,4450000,9430000,45560000
54,7062,1780000,1825000,2710000,10045000,4935000,4810000,4875000,5025000,4895000,10630000,51530000
55,7063,NA,NA,NA,20000,10000,10000,10000,10000,10000,30000,100000
56,7065,17365000,17890000,16375000,73170000,36265000,35447000,36425000,38523000,36455000,77565000,385480000
57,7066,NA,4700000,235000,8555000,4410000,4005000,5795000,5110000,4845000,10155000,47810000
58,7067,1935000,3770000,165000,7640000,3745000,3695000,4745000,4080000,4120000,8775000,42670000
59,7068,1325000,1780000,155000,3470000,1640000,1580000,2550000,2075000,2025000,4450000,21050000
60,7069,NA,1500000,365000,3970000,1935000,1905000,2020000,2060000,1955000,4250000,19960000
61,7070,NA,2210000,250000,4970000,2490000,2335000,2430000,2485000,2475000,5115000,24760000
62,7071,1600000,4510000,460000,9830000,4915000,4850000,5105000,5110000,4955000,10520000,51855000
63,7072,NA,105000,NA,200000,100000,100000,130000,110000,115000,235000,1095000
64,7073,1080000,1530000,110000,3225000,1560000,1555000,1915000,1705000,1730000,3600000,18010000
65,7074,515000,1285000,30000,2690000,1275000,1200000,1465000,1505000,1415000,3080000,14460000
66,7076,NA,4790000,175000,10410000,4555000,4585000,4640000,6855000,5090000,10815000,51915000
67,7077,2600000,3755000,6560000,28630000,14980000,13700000,14355000,14225000,14140000,32985000,145930000
68,7079,1605000,1875000,10000,3975000,1975000,1765000,1805000,1970000,1960000,4280000,21220000
69,7080,NA,8155000,600000,17805000,8735000,8220000,8850000,8885000,8840000,18860000,88950000
70,7081,2200000,4430000,500000,9625000,4495000,4370000,4915000,5600000,4850000,10420000,51405000
