CVE_MUNICIPIO,feb,mar,abr,may,ju,jul,ago,sep,oct,nov,dic,total
2001,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000
2004,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000
4001,NA,NA,NA,4635000,4985000,5015000,4990000,4995000,4995000,4975000,4975000,39565000
4002,20000,20000,20000,20000,10000,20000,20000,20000,20000,20000,30000,220000
4003,NA,NA,NA,NA,70000,5000,5000,5000,5000,5000,55000,150000
4004,NA,NA,NA,10305000,14585000,15395000,14955000,15015000,15015000,14915000,14795000,114980000
4005,20000,20000,20000,895000,2915000,3085000,3025000,3015000,3015000,3005000,2950000,21965000
4006,NA,NA,NA,5635000,9945000,10060000,9995000,9985000,9985000,9880000,9905000,75390000
4007,NA,NA,NA,NA,240000,3140000,1915000,1965000,1965000,1960000,1950000,13135000
4008,NA,NA,NA,715000,1945000,2060000,1980000,1970000,1970000,1965000,1960000,14565000
4009,13995000,13950000,13955000,15190000,15490000,15320000,15310000,15285000,15285000,15100000,14760000,163640000
4010,24370000,24235000,24185000,26345000,26890000,26670000,26650000,26720000,26720000,26590000,26480000,285855000
4011,9840000,9805000,9815000,19660000,20485000,20440000,20400000,20350000,20350000,20170000,20015000,191330000
5002,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000
5007,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000
5035,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000
6001,NA,NA,NA,1305000,1665000,1850000,1730000,1740000,1740000,1735000,1590000,13355000
6002,NA,NA,NA,3410000,3730000,3845000,3755000,3770000,3770000,3755000,3800000,29835000
6003,NA,NA,NA,2465000,2975000,3060000,3035000,3020000,3020000,2995000,2825000,23395000
6004,NA,NA,NA,2265000,2890000,3045000,2930000,2930000,2930000,2925000,2740000,22655000
6005,NA,NA,NA,1480000,1925000,2030000,1960000,1975000,1975000,1965000,1865000,15175000
6006,NA,NA,NA,1425000,2170000,2365000,2280000,2310000,2310000,2270000,2240000,17370000
6007,NA,NA,NA,2295000,3565000,4580000,4050000,4055000,4055000,4050000,3995000,30645000
6008,NA,NA,NA,1175000,1645000,1795000,1715000,1715000,1715000,1710000,1685000,13155000
6009,NA,NA,NA,1200000,1925000,3155000,2530000,2595000,2595000,2595000,2735000,19330000
6010,NA,NA,NA,435000,750000,810000,785000,800000,800000,800000,1155000,6335000
7001,2000000,1995000,1990000,2010000,2065000,2010000,1990000,1990000,1990000,1990000,2030000,22060000
7002,5000,5000,5000,5000,10000,5000,5000,5000,5000,5000,10000,65000
7003,4555000,4560000,4560000,4560000,4615000,4555000,4550000,4545000,4545000,4545000,4595000,50185000
